quarter,owner,repo,prs_opened,prs_merged,prs_closed,issues_opened,issues_closed
Q2 2026,AeneasVerif,aeneas,2,0,0,3,0
Q2 2026,AeneasVerif,charon,2,1,0,1,1
Q2 2026,leanprover,cslib,2,0,0,0,0
Q2 2026,verus-lang,verus,4,3,0,0,0
Q1 2026,AeneasVerif,aeneas,9,8,0,8,5
Q1 2026,AeneasVerif,charon,0,0,0,3,1
Q1 2026,verus-lang,verus,21,18,3,12,9
Q1 2026,leanprover-community,mathlib4,9,4,0,1,0
Q4 2025,AeneasVerif,aeneas,0,0,0,2,2
Q4 2025,AeneasVerif,charon,0,0,0,2,2
Q4 2025,verus-lang,verus,4,4,0,0,0
Q4 2025,leanprover-community,mathlib4,4,1,0,2,0
Q3 2025,leanprover-community,mathlib4,29,22,4,0,0
